chrom	family_id	start	end	period	copies	repeat_bp	requested_gc	founder_gc	unit_substitution_rate	observed_unit_substitutions	founder_sha256
chr_sim	f001	139261	140481	61	20	1220	0.3	0.4426229508196721	0	0	fc8988470a540e3d33a625a3d73604ba0518d5423559a99462f6e1635d58c512
chr_sim	f002	279742	280962	61	20	1220	0.3	0.29508196721311475	0.02	28	94454e36f14c038ec9aec804572fe4d3059ca40da5a1d5f016790e68c8c69982
chr_sim	f003	420223	421443	61	20	1220	0.5	0.5081967213114754	0	0	72c8e2076ed5ab5723d5ed07307e208f1701345c381de0db3883f026de51bd83
chr_sim	f004	560704	561924	61	20	1220	0.5	0.3770491803278688	0.02	24	1cc0d4a74686bc9fd05e63907694f7e1db3ff120c244cca4f9f83727b0d2384e
chr_sim	f005	701185	702405	61	20	1220	0.7	0.7540983606557377	0	0	157006990124b6781da7bedd3b795af95f4d482dc8673905242b0885e8b1f409
chr_sim	f006	841666	842886	61	20	1220	0.7	0.7377049180327869	0.02	20	5a07aa1cd24841b13d78bf6a82b1562eeafbc27e5987846d38c3b2bfc943686c
chr_sim	f007	982147	987027	61	80	4880	0.3	0.4098360655737705	0	0	d951eb47c965632b5682a390c356ef6195d4a174db27cd4b580c1d17048d589f
chr_sim	f008	1126288	1131168	61	80	4880	0.3	0.29508196721311475	0.02	104	25480d8409d6256fd95fb45e826d0273d957b22c9310322ae88beb31693d1803
chr_sim	f009	1270429	1275309	61	80	4880	0.5	0.5081967213114754	0	0	512f88b1bf4efd1fe90cad6c886ad9fe9bd9d232d804038e911e454057616103
chr_sim	f010	1414570	1419450	61	80	4880	0.5	0.5737704918032787	0.02	117	6150413af82aaac31c84b1abcb27f1ad2519f7b38658c8714db2685a058d8e02
chr_sim	f011	1558711	1563591	61	80	4880	0.7	0.819672131147541	0	0	0b9959415b1be73d11d1bc36f1fa8742fa68745b6b1fb6bd1a8805dc55d858bd
chr_sim	f012	1702852	1707732	61	80	4880	0.7	0.6557377049180327	0.02	92	a84fbd69705077000cb269df89bdff3f79e5eeeb64cb5b8d107ae5742e709011
chr_sim	f013	1846993	1859193	61	200	12200	0.3	0.2786885245901639	0	0	cfc74d01bc9134ea53d458b7c82870aca355289e962458f2f54d08e4bf054a74
chr_sim	f014	1998454	2010654	61	200	12200	0.3	0.3114754098360656	0.02	236	2bd58408f1f6ccf91d22faed83e777cfac277ec22b41e53af760769d00aeba63
chr_sim	f015	2149915	2162115	61	200	12200	0.5	0.4426229508196721	0	0	a109fdca09e8bd72c33f9e1f51f615cc9d0d49863f59e2789ed4a8cc3a0dee4f
chr_sim	f016	2301376	2313576	61	200	12200	0.5	0.45901639344262296	0.02	238	0ac33eb18d8a3a8de8b269736c0894083db350275cec11e011933aa30e462757
chr_sim	f017	2452837	2465037	61	200	12200	0.7	0.7540983606557377	0	0	e1ee5316bf971c32562c32efd0d97c118d6b653ccf5ef3c4e17ce60df638e345
chr_sim	f018	2604298	2616498	61	200	12200	0.7	0.7377049180327869	0.02	233	c5c6cdc781e48523ae2d247f0e31874467bb18872c5cfd4cfc1c23ea6766472a
chr_sim	f019	2755759	2759179	171	20	3420	0.3	0.30994152046783624	0	0	371a434a88a935802c2a000dcf78d580152ad64b033e3b3d851ebb83b094ff90
chr_sim	f020	2898440	2901860	171	20	3420	0.3	0.2982456140350877	0.02	76	8b41b7c690e0a5694f59ade806c4ad5ef3b0e73ae6b882199f36572fb0305c37
chr_sim	f021	3041121	3044541	171	20	3420	0.5	0.47368421052631576	0	0	c0d3ad20668cc2a4ababeb8c7746669c3afe77c5a77a1785fe20d78d7b0c9b4f
chr_sim	f022	3183802	3187222	171	20	3420	0.5	0.47953216374269003	0.02	49	9fdcbc426e446dd628e9d1324539419e8d0b4be728668355e7df0fdfd80b9152
chr_sim	f023	3326483	3329903	171	20	3420	0.7	0.6491228070175439	0	0	6a8594612efdfca50468d553b187051d016f2de8712dccac5879ac8978a62877
chr_sim	f024	3469164	3472584	171	20	3420	0.7	0.7017543859649122	0.02	73	61c6d059bbde0f7ec6a4247e69a56af82a1a3d4fd9459bd7ded6ee2147f25e97
chr_sim	f025	3611845	3625525	171	80	13680	0.3	0.25146198830409355	0	0	1223dabe5703c9fccd6d64b09c5922f90f301560ac6b1331b439aded386f6620
chr_sim	f026	3764786	3778466	171	80	13680	0.3	0.3333333333333333	0.02	274	0eb4bf92c0359bf9fae37dd7476505a40821b2268fb380b21b5598b3b8062c0b
chr_sim	f027	3917727	3931407	171	80	13680	0.5	0.4269005847953216	0	0	2ee1c809a395555ffb062bd8200e5d4d37ff21917a47e085179164252b15daa3
chr_sim	f028	4070668	4084348	171	80	13680	0.5	0.47953216374269003	0.02	279	f195651b22efff99c1cb50257d194c7e704a42ca8b3d401cfdf564047faa7469
chr_sim	f029	4223609	4237289	171	80	13680	0.7	0.6549707602339181	0	0	7b8e3838b911cbb46b7cad4750cb40377b6a288a32f8566d675057c39ff477a3
