read_id	length_bp	truth_positive	strand	negative_kind
r0000001	5000	0	+	random
r0000002	5000	0	-	random
r0000003	5002	1	-	NA
r0000004	5000	0	-	random
r0000005	5001	1	-	NA
r0000006	4999	1	-	NA
r0000007	5000	1	+	NA
r0000008	5000	0	+	random
r0000009	5000	0	-	random
r0000010	5000	1	+	NA
r0000011	4999	1	-	NA
r0000012	5002	1	-	NA
r0000013	5000	0	+	random
r0000014	5000	0	-	random
r0000015	5002	1	-	NA
r0000016	4999	1	+	NA
r0000017	5000	0	-	random
r0000018	5001	1	-	NA
r0000019	4998	1	-	NA
r0000020	4999	1	+	NA
r0000021	5001	1	-	NA
r0000022	4998	1	+	NA
r0000023	5003	1	-	NA
r0000024	5004	1	-	NA
r0000025	5000	1	-	NA
r0000026	5001	1	+	NA
r0000027	4996	1	+	NA
r0000028	5000	0	+	random
r0000029	5004	1	+	NA
r0000030	5001	1	+	NA
r0000031	5000	0	+	random
r0000032	5000	0	-	random
r0000033	5000	0	-	random
r0000034	5000	0	-	random
r0000035	5000	0	+	random
r0000036	5001	1	+	NA
r0000037	5000	0	-	random
r0000038	5000	0	-	random
r0000039	5002	1	-	NA
r0000040	5001	1	+	NA
r0000041	4997	1	+	NA
r0000042	5000	0	-	random
r0000043	4996	1	+	NA
r0000044	5003	1	-	NA
r0000045	4997	1	+	NA
r0000046	5002	1	-	NA
r0000047	5000	0	-	random
r0000048	5000	1	-	NA
r0000049	5003	1	-	NA
r0000050	5000	0	+	random
r0000051	4999	1	+	NA
r0000052	5001	1	-	NA
r0000053	4999	1	-	NA
r0000054	4999	1	-	NA
r0000055	5000	1	+	NA
r0000056	4999	1	-	NA
r0000057	4999	1	-	NA
r0000058	5000	0	-	random
r0000059	4999	1	-	NA
r0000060	4999	1	-	NA
r0000061	5000	1	+	NA
r0000062	5000	0	+	random
r0000063	5000	1	-	NA
r0000064	4996	1	-	NA
r0000065	5000	1	-	NA
r0000066	5001	1	-	NA
r0000067	5001	1	+	NA
r0000068	4999	1	+	NA
r0000069	5004	1	+	NA
r0000070	5000	0	+	random
r0000071	4999	1	+	NA
r0000072	4997	1	-	NA
r0000073	4994	1	+	NA
r0000074	5000	0	+	random
r0000075	4998	1	+	NA
r0000076	5000	0	+	random
r0000077	5002	1	-	NA
r0000078	5000	0	+	random
r0000079	4999	1	-	NA
r0000080	5001	1	+	NA
r0000081	5002	1	-	NA
r0000082	5002	1	+	NA
r0000083	4998	1	-	NA
r0000084	5001	1	-	NA
r0000085	5002	1	+	NA
r0000086	4997	1	-	NA
r0000087	4996	1	+	NA
r0000088	5001	1	+	NA
r0000089	5000	1	+	NA
r0000090	5000	0	+	random
r0000091	5000	0	-	random
r0000092	4999	1	+	NA
r0000093	5000	0	-	random
r0000094	5000	0	-	random
r0000095	4998	1	-	NA
r0000096	5002	1	-	NA
r0000097	5001	1	-	NA
r0000098	5004	1	-	NA
r0000099	4998	1	+	NA
r0000100	5000	0	-	random
