chrom	family_id	start	end	period	copies	repeat_bp	requested_gc	founder_gc	unit_substitution_rate	observed_unit_substitutions	founder_sha256
chr_sim	f001	139261	140481	61	20	1220	0.3	0.22950819672131148	0	0	4adf7ac6c11fa0747a5f78cdbe417c15350bec213cff852a9def4a825150f50f
chr_sim	f002	279742	280962	61	20	1220	0.3	0.22950819672131148	0.02	19	e38adb4939c519ec3239ce00360b3b98d2690c5eb1704a1b48f942f582886fd2
chr_sim	f003	420223	421443	61	20	1220	0.5	0.47540983606557374	0	0	5e2b3292b3cd4185b1f798eddb4d30c8634941e60755cc237c2723b04fdb4a51
chr_sim	f004	560704	561924	61	20	1220	0.5	0.5245901639344263	0.02	30	44549c5cd329f759dc738f0cf2cd4f66ef294398a662c9d4f9477d6111a0f752
chr_sim	f005	701185	702405	61	20	1220	0.7	0.7213114754098361	0	0	2031364ae552922c818c178de78efd12fcc74ac0b57b27c4f06dc96accda1ae5
chr_sim	f006	841666	842886	61	20	1220	0.7	0.6065573770491803	0.02	21	0b5b0ccca657bb37a67d71ec0b05f260115f81f9ab6bfa6255e517f24cdb7922
chr_sim	f007	982147	987027	61	80	4880	0.3	0.3114754098360656	0	0	aa81bb08c37600997620d77480292449003a1198129c3b88e2aa51dfc6c4a14d
chr_sim	f008	1126288	1131168	61	80	4880	0.3	0.32786885245901637	0.02	99	234d8f88bbcc16573f49f89498a680db5d0f4e68336bea5d9df682591c55adb5
chr_sim	f009	1270429	1275309	61	80	4880	0.5	0.5901639344262295	0	0	c3c044203f1b155f8a2da45c76cc94afc995a33048a76a49a90c74aec63dee28
chr_sim	f010	1414570	1419450	61	80	4880	0.5	0.5409836065573771	0.02	88	9cd4cb291f6e92ee8c82b1802360396afaf3f2072a4a30cbb27858c0691bf5a1
chr_sim	f011	1558711	1563591	61	80	4880	0.7	0.6065573770491803	0	0	584810d182b64cbcba5972729a50a7d9d85ac6036d6e8d7823f2401456607d13
chr_sim	f012	1702852	1707732	61	80	4880	0.7	0.6229508196721312	0.02	82	9950f16b7b6504b4b1ebb5e6a131e910a5daf07deaa9988692b8800fdbd0f772
chr_sim	f013	1846993	1859193	61	200	12200	0.3	0.29508196721311475	0	0	36403d5ad426b26be47ff8c5ee6414ace8f2c6ccd56a3d38ce4418e119bc6f06
chr_sim	f014	1998454	2010654	61	200	12200	0.3	0.29508196721311475	0.02	260	f0f5e75e01843829ccecf442f2fea9be4b3ffcc5e814f4ef7c5c0b698ce1c1f3
chr_sim	f015	2149915	2162115	61	200	12200	0.5	0.4426229508196721	0	0	7ec4940133f8c7a9b472d15bb9b26470baf2fa283f74f13685f02530ee3c4ee2
chr_sim	f016	2301376	2313576	61	200	12200	0.5	0.4918032786885246	0.02	267	0b76ebc2aa2ecac8ae30c98c5df52922aa3c31d1371b81cddf0f254ca4e0c700
chr_sim	f017	2452837	2465037	61	200	12200	0.7	0.639344262295082	0	0	2fee3b2ce9916f651314d76fadb9743f59fdfe9f064f24130bb4393d3ce2fc8f
chr_sim	f018	2604298	2616498	61	200	12200	0.7	0.7377049180327869	0.02	225	6b388aebfdafa0531828c171ee6ebe8d7ce389eb21de8aaca98f797ec7c0550e
chr_sim	f019	2755759	2759179	171	20	3420	0.3	0.3508771929824561	0	0	15be68955aa76df2d5279245f4ccd4f1c95b9e1e55597ec0f2cf8b4bedbcb35f
chr_sim	f020	2898440	2901860	171	20	3420	0.3	0.29239766081871343	0.02	77	9d244a70a5cb8b50724e13a8681411279ae7d69f0d7c00d6dc23b8f2d5cd1569
chr_sim	f021	3041121	3044541	171	20	3420	0.5	0.47953216374269003	0	0	957e542f605f0ab1494593b992bd0ea24acbd9ae792927f49c72fe55466980f2
chr_sim	f022	3183802	3187222	171	20	3420	0.5	0.49122807017543857	0.02	66	0dc329d2cbd833869ba41e314cf528e33fcb2ecb7c9f09e318f6744befe7adc7
