prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	r000000001	0	16113	421	0	f049	1.0	matched
1	r000000006	11857	15493	61	1	f012	1.0	matched
2	r000000010	0	2804	61	2	f013	1.0	matched
3	r000000015	8928	12501	61	3	f008	0.9997202014549524	matched
4	r000000017	6658	10569	421	4	f051	1.0	matched
5	r000000019	1873	10293	421	5	f037	1.0	matched
6	r000000020	0	14978	171	6	megabase_171	1.0	matched
7	r000000025	0	12640	171	7	megabase_171	1.0	matched
8	r000000026	0	11444	171	8	f031	1.0	matched
9	r000000028	4	12990	421	9	f054	0.9996920708237106	matched
10	r000000039	11020	13808	420	10	f054	0.9996414485478666	matched
11	r000000045	14635	17875	171	11	f021	0.9984591679506933	matched
12	r000000047	12198	13419	61	12	f003	0.9983619983619983	matched
13	r000000048	0	13731	171	13	megabase_171	1.0	matched
14	r000000052	0	14677	420	14	f049	1.0	matched
15	r000000058	0	6672	421	15	f047	1.0	matched
16	r000000061	0	11774	421	16	f054	1.0	matched
17	r000000064	10989	12300	171	17	f025	0.9984767707539984	matched
18	r000000065	0	7421	421	18	f037	1.0	matched
19	r000000067	0	15722	171	19	megabase_171	1.0	matched
20	r000000074	2	14759	421	20	f053	0.9998644894640558	matched
21	r000000084	0	13434	171	21	megabase_171	1.0	matched
22	r000000087	1933	5366	171	22	f020	0.9973783862510923	matched
23	r000000091	0	12767	171	23	f033	1.0	matched
24	r000000095	6221	9644	171	24	f023	1.0	matched
25	r000000096	3974	12686	421	25	f054	0.999770484278173	matched
26	r000000104	0	11990	171	26	megabase_171	1.0	matched
27	r000000106	2	7509	171	27	f034	0.9997336529497935	matched
28	r000000109	0	3990	421	28	f049	1.0	matched
29	r000000114	15	1230	61	29	f001	1.0	matched
30	r000000119	4261	10848	421	30	f038	1.0	matched
31	r000000131	0	14025	171	31	megabase_171	1.0	matched
32	r000000139	0	11952	421	32	f044	1.0	matched
33	r000000144	2	14154	171	33	megabase_171	0.9992233283908777	matched
34	r000000146	2	12187	421	34	f049	0.9998358907032083	matched
35	r000000149	0	13657	171	35	megabase_171	1.0	matched
36	r000000151	14793	18334	61	36	f009	0.9983055634001694	matched
37	r000000152	0	14409	421	37	f049	1.0	matched
38	r000000156	0	10289	421	38	f049	1.0	matched
39	r000000161	0	13741	171	39	megabase_171	0.9998544713672415	matched
40	r000000167	0	12295	171	40	megabase_171	1.0	matched
41	r000000178	0	5273	421	41	f041	0.9996208530805687	matched
42	r000000179	0	17945	421	42	f052	1.0	matched
43	r000000182	1	11030	171	43	megabase_171	0.999909338168631	matched
44	r000000183	0	1759	419	44	f048	1.0	matched
45	r000000184	0	14957	171	45	megabase_171	1.0	matched
46	r000000188	4824	14785	171	46	f030	1.0	matched
47	r000000189	0	12840	171	47	megabase_171	1.0	matched
48	r000000193	1117	4551	171	48	f020	0.9979615608619685	matched
49	r000000196	2	13619	421	49	f051	0.9998531463396725	matched
50	r000000203	4905	6127	61	50	f003	0.9983633387888707	matched
51	r000000205	0	17223	171	51	megabase_171	1.0	matched
52	r000000206	0	13593	421	52	f054	1.0	matched
53	r000000212	0	16404	171	53	f035	1.0	matched
54	r000000213	0	15990	171	54	megabase_171	1.0	matched
55	r000000222	0	14567	421	55	f053	1.0	matched
56	r000000223	2	11713	421	56	f054	0.9998292495517801	matched
57	r000000227	86	12903	421	57	f044	1.0	matched
58	r000000229	0	13850	171	58	f036	1.0	matched
59	r000000231	0	2967	61	59	f008	1.0	matched
60	r000000234	0	11695	421	60	f046	0.9997434801197093	matched
61	r000000236	0	11332	171	61	f025	1.0	matched
62	r000000237	0	5842	171	62	f028	1.0	matched
63	r000000240	1	11170	171	63	megabase_171	0.9999104744852283	matched
64	r000000243	12134	15933	171	64	f031	1.0	matched
65	r000000248	0	11742	421	65	f052	1.0	matched
66	r000000249	0	10909	421	66	f050	0.9998166987443864	matched
67	r000000250	9174	18040	421	67	f043	1.0	matched
68	r000000254	2860	14019	421	68	f046	0.9997311587059773	matched
69	r000000270	2	14558	171	69	megabase_171	0.999862618491551	matched
70	r000000272	22176	22470	61	70	f012	0.9965986394557823	matched
71	r000000274	3267	6690	171	71	f022	0.9997078586035641	matched
72	r000000276	0	12958	421	72	f052	1.0	matched
73	r000000278	0	14319	171	73	megabase_171	1.0	matched
74	r000000284	0	3107	61	74	f011	1.0	matched
75	r000000285	0	2216	421	75	f049	0.9995489400090212	matched
76	r000000287	0	10931	171	76	f034	0.9996342021033379	matched
77	r000000291	13756	16566	421	77	f042	0.994661921708185	matched
78	r000000293	6680	17586	421	78	f052	1.0	matched
79	r000000296	0	8626	171	79	megabase_171	1.0	matched
80	r000000298	0	12199	421	80	f054	1.0	matched
81	r000000303	0	16311	171	81	f036	1.0	matched
82	r000000305	2	15544	171	82	megabase_171	0.9998713329902214	matched
83	r000000308	12023	16241	421	83	f049	1.0	matched
84	r000000311	0	13299	171	84	f035	1.0	matched
85	r000000313	0	12751	171	85	megabase_171	1.0	matched
86	r000000317	0	5964	171	86	f035	1.0	matched
87	r000000323	0	10444	421	87	f052	1.0	matched
88	r000000326	0	2410	171	88	f022	1.0	matched
89	r000000340	0	3280	421	89	f038	1.0	matched
90	r000000350	0	12927	171	90	megabase_171	1.0	matched
91	r000000356	0	17395	171	91	megabase_171	1.0	matched
92	r000000362	0	11639	171	92	megabase_171	1.0	matched
93	r000000369	0	3334	171	93	f025	0.9961007798440312	matched
94	r000000371	0	2224	171	94	f030	0.9995503597122302	matched
95	r000000378	34	16473	421	95	f050	1.0	matched
96	r000000380	0	5056	61	96	f018	1.0	matched
97	r000000382	0	15392	421	97	f045	1.0	matched
98	r000000383	0	17150	171	98	megabase_171	1.0	matched
99	r000000388	0	13535	421	99	f052	1.0	matched
100	r000000391	0	11344	171	100	megabase_171	1.0	matched
101	r000000392	0	13611	171	101	megabase_171	1.0	matched
102	r000000396	0	4990	421	102	f047	1.0	matched
103	r000000397	0	11394	421	103	f050	1.0	matched
104	r000000399	0	12037	171	104	megabase_171	1.0	matched
105	r000000404	0	12876	171	105	megabase_171	1.0	matched
106	r000000406	0	4480	171	106	f035	1.0	matched
107	r000000414	0	15722	171	107	megabase_171	0.9997456441561745	matched
108	r000000430	0	12748	171	108	f034	1.0	matched
109	r000000432	0	5090	421	109	f047	1.0	matched
110	r000000436	0	12225	171	110	megabase_171	1.0	matched
111	r000000440	2	453	61	111	f003	0.9933774834437086	matched
112	r000000441	0	1476	171	112	f036	0.9979674796747967	matched
113	r000000442	0	1865	61	113	f010	1.0	matched
114	r000000448	0	7625	421	114	f049	1.0	matched
115	r000000450	0	5023	421	115	f042	0.9994027473621342	matched
116	r000000457	0	4634	61	116	f010	1.0	matched
117	r000000459	0	17177	171	117	megabase_171	1.0	matched
118	r000000461	12007	16373	421	118	f054	0.9997710098465766	matched
119	r000000462	0	11958	421	119	f054	1.0	matched
120	r000000463	6599	11475	61	120	f010	1.0	matched
121	r000000464	9874	11091	61	121	f001	1.0	matched
122	r000000465	6076	9482	171	122	f024	1.0	matched
